id,season,year,name,full_name,status,category,prize,country
2560,1983-1984,1984,Pontins Spring Open,1984 Pontins Spring Open,Pro-am,Event,0.0,Wales
2111,1983-1984,1984,Scottish Amateur Championship,1984 Scottish Amateur Championship,Amateur,National Championship,0.0,Scotland
2059,1983-1984,1984,Northern Ireland Amateur Championship,1984 Northern Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
728,1983-1984,1984,World Championship,1984 World Championship,Professional,Ranking,199000.0,England
2110,1983-1984,1984,Isle of Man Amateur Championship,1984 Isle of Man Amateur Championship,Amateur,National Championship,0.0,Isle of Man
729,1983-1984,1984,Irish Masters,1984 Irish Masters,Professional,Invitational,36398.0,Ireland
732,1983-1984,1984,Welsh Professional Championship,1984 Welsh Professional Championship,Professional,Non-ranking,14500.0,Wales
773,1983-1984,1984,International Masters,1984 International Masters,Professional,Non-ranking,63750.0,England
730,1983-1984,1984,Tolly Cobbold Classic,1984 Tolly Cobbold Classic,Professional,Invitational,20500.0,England
731,1983-1984,1984,Masters,1984 Masters,Professional,Invitational,126500.0,England
733,1983-1984,1984,Classic,1984 Classic,Professional,Ranking,82000.0,England
2031,1983-1984,1984,Australian Amateur Championship,1984 Australian Amateur Championship,Amateur,National Championship,0.0,Australia
1410,1983-1984,1984,Belgian Amateur Championship,1984 Belgian Amateur Championship,Amateur,National Championship,0.0,Belgium
1447,1983-1984,1984,Canadian Championship,1984 Canadian Championship,Pro-am,National Championship,0.0,Canada
1884,1983-1984,1984,English Amateur Championship,1984 English Amateur Championship,Amateur,National Championship,0.0,England
2101,1983-1984,1984,Irish Amateur Championship,1984 Irish Amateur Championship,Amateur,National Championship,0.0,Ireland
1537,1983-1984,1984,Malta Amateur Championship,1984 Malta Amateur Championship,Amateur,National Championship,0.0,Malta
2065,1983-1984,1984,Scottish Professional Championship,1984 Scottish Professional Championship,Professional,Non-ranking,0.0,Scotland
1810,1983-1984,1984,Swedish Amateur Championship,1984 Swedish Amateur Championship,Amateur,National Championship,0.0,Sweden
1708,1983-1984,1984,Welsh Amateur Championship,1984 Welsh Amateur Championship,Amateur,National Championship,0.0,Wales
723,1983-1984,1984,Pot Black,1984 Pot Black,Professional,Invitational,40750.0,England
701,1985-1986,1985,KitKat Break for World Champions,1985 KitKat Break for World Champions,Professional,Invitational,30000.0,England
2306,1984-1985,1985,Womens World Championship,1985 Womens World Championship,Amateur,World Event,0.0,England
1280,1985-1986,1985,WPBSA Pro Ticket Series 87/88 - Event 2,1985 WPBSA Pro Ticket Series 87/88 - Event 2,Professional,Tour Qualifier,11700.0,Wales
688,1985-1986,1985,UK Championship,1985 UK Championship,Professional,Ranking,120008.0,England
1138,1985-1986,1985,World Amateur Championship - Men,1985 World Amateur Championship - Men,Amateur,World Event,0.0,England
1276,1985-1986,1985,WPBSA Pro Ticket Series 87/88 - Event 1,1985 WPBSA Pro Ticket Series 87/88 - Event 1,Professional,Tour Qualifier,12500.0,Wales
697,1985-1986,1985,Canadian Masters,1985 Canadian Masters,Professional,Invitational,47500.0,Canada
690,1985-1986,1985,Grand Prix,1985 Grand Prix,Professional,Ranking,249962.0,England
2589,1985-1986,1985,Pontins Autumn Open,1985 Pontins Autumn Open,Pro-am,Event,0.0,Wales
691,1985-1986,1985,Matchroom Trophy,1985 Matchroom Trophy,Professional,Ranking,168008.0,England
692,1985-1986,1985,Scottish Masters,1985 Scottish Masters,Professional,Invitational,31000.0,Scotland
698,1985-1986,1985,Hong Kong Masters,1985 Hong Kong Masters,Professional,Invitational,0.0,Hong Kong
693,1985-1986,1985,Australian Professional Championship,1985 Australian Professional Championship,Professional,Non-ranking,16425.0,Australia
792,1985-1986,1985,Singapore Masters,1985 Singapore Masters,Professional,Invitational,0.0,Singapore
793,1985-1986,1985,Thailand Masters,1985 Thailand Masters,Professional,Non-ranking,0.0,Thailand
846,1985-1986,1985,Australian Masters,1985 Australian Masters,Professional,Invitational,60000.0,Australia
694,1985-1986,1985,Canadian Professional Championship,1985 Canadian Professional Championship,Professional,Non-ranking,5000.0,Canada
3063,1984-1985,1985,All-Ireland Amateur Championship,1985 All-Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
2045,1985-1986,1985,Australian Amateur Championship,1985 Australian Amateur Championship,Amateur,National Championship,0.0,Australia
834,1985-1986,1985,Carlsberg Challenge,1985 Carlsberg Challenge,Professional,Invitational,28500.0,Ireland
3064,1984-1985,1985,Northern Ireland Amateur Championship,1985 Northern Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
1389,1985-1986,1985,Asian Championship,1985 Asian Championship,Amateur,Continental Event,0.0,Singapore
2561,1984-1985,1985,Pontins Spring Open,1985 Pontins Spring Open,Pro-am,Event,0.0,Wales
